City,Country,Max Temperature,Humidity,Wind Speed,Latitude,Longditude,Cloudiness,Date
Oncesti,RO,5.0,32,2.6,46.47,27.25,0,1553376600
Borujerd,IR,9.0,93,3.6,33.89,48.76,92,1553374800
San Patricio,PY,25.72,68,1.07,-26.98,-56.83,0,1553378449
Talnakh,RU,-15.23,76,2.42,69.49,88.39,80,1553378225
Atuona,PF,27.97,100,7.47,-9.8,-139.03,80,1553378385
Touros,BR,29.0,79,4.1,-5.2,-35.46,20,1553374800
Albany,US,3.89,47,4.1,42.65,-73.75,1,1553378227
Longyearbyen,NO,-8.0,61,6.2,78.22,15.63,20,1553374200
Laguna,MX,27.0,28,4.6,27.52,-110.01,5,1553373660
Bredasdorp,ZA,21.0,83,1.0,-34.53,20.04,44,1553377624
Cabo San Lucas,MX,27.22,44,4.1,22.89,-109.91,5,1553378150
Biltine,TD,25.72,24,3.02,14.53,20.93,0,1553378227
Busselton,AU,11.67,58,5.67,-33.64,115.35,68,1553378417
Rolla,US,16.67,38,7.2,37.95,-91.77,90,1553378130
Luderitz,NA,15.67,91,4.02,-26.65,15.16,20,1553378452
North Bend,US,13.89,71,5.7,43.41,-124.22,20,1553378121
Ilulissat,GL,-19.0,40,9.3,69.22,-51.1,56,1553374200
Lebu,ET,12.12,60,2.77,8.96,38.73,0,1553378453
Uvat,RU,-0.78,95,2.32,59.14,68.9,76,1553378229
Hambantota,LK,24.0,100,1.0,6.12,81.12,20,1553375400
Skibbereen,IE,6.0,97,2.1,51.55,-9.27,75,1553376600
Hermanus,ZA,19.44,90,1.52,-34.42,19.24,76,1553377624
Sharan,AF,-4.13,76,0.97,33.15,68.78,44,1553378230
Rikitea,PF,26.47,97,8.62,-23.12,-134.97,64,1553378454
Kargasok,RU,-6.38,85,1.07,59.06,80.87,12,1553378230
Tiznit,MA,14.97,100,3.07,29.7,-9.73,80,1553378176
Avarua,CK,29.0,79,2.1,-21.21,-159.78,68,1553374800
Alyangula,AU,28.0,83,3.6,-13.85,136.42,40,1553374800
Guane,CU,28.22,41,1.82,22.2,-84.09,8,1553378231
Aklavik,CA,-6.0,62,10.3,68.22,-135.01,40,1553374800
Lieksa,FI,1.47,90,3.67,63.32,30.02,0,1553378232
Okhotsk,RU,-5.88,85,3.22,59.36,143.24,80,1553378456
Tutoia,BR,28.0,65,2.6,-2.76,-42.27,40,1553374800
Jamestown,AU,17.92,86,4.67,-33.21,138.6,92,1553378457
Sciacca,IT,11.0,87,1.5,37.51,13.08,0,1553378180
Hasaki,JP,-1.0,80,1.5,35.73,140.83,20,1553374941
Vaini,IN,18.42,89,0.47,15.34,74.49,0,1553378457
Bonavista,CA,1.67,88,5.97,48.65,-53.11,92,1553377508
Mahebourg,MU,28.0,78,5.7,-20.41,57.7,75,1553378340
Hay River,CA,-7.0,67,8.2,60.82,-115.79,75,1553374800
Kruisfontein,ZA,19.77,79,3.12,-34.0,24.73,12,1553378458
Challapata,BO,16.47,18,2.17,-18.9,-66.78,68,1553378234
Yar-Sale,RU,-11.38,76,1.27,66.83,70.83,8,1553378459
Hovd,NO,4.0,85,13.9,63.83,10.7,75,1553378415
Kavieng,PG,28.22,100,4.22,-2.57,150.8,36,1553378459
Koumac,NC,25.97,89,3.32,-20.56,164.28,64,1553378235
Haicheng,CN,0.22,61,6.27,40.85,122.74,0,1553378236
Ushuaia,AR,13.0,66,2.6,-54.81,-68.31,75,1553374800
Kaitangata,NZ,15.37,82,2.57,-46.28,169.85,92,1553378460
Kapaa,US,27.0,69,9.3,22.08,-159.32,75,1553378305
Victoria,BN,27.0,88,1.0,5.28,115.24,75,1553374800
Vryburg,ZA,22.62,41,5.22,-26.96,24.73,24,1553378462
Sturgeon Falls,CA,0.56,42,6.2,46.36,-79.93,20,1553377817
Nanakuli,US,27.0,54,4.6,21.39,-158.15,90,1553378218
Taicheng,CN,12.78,93,1.34,22.25,112.8,56,1553378151
Nanortalik,GL,-5.18,100,5.12,60.14,-45.24,36,1553378463
Sao Joao da Barra,BR,26.0,78,3.1,-21.64,-41.05,75,1553374800
Jodar,ES,11.67,69,5.36,37.84,-3.35,0,1553378224
Barrow,AR,18.02,96,6.37,-38.31,-60.23,80,1553378464
Airai,TL,21.32,87,0.67,-8.93,125.41,32,1553378464
Hilo,US,26.0,54,4.1,19.71,-155.08,90,1553378444
Tiksi,RU,-17.78,84,1.32,71.64,128.87,68,1553378281
Humaita,AR,21.0,64,2.6,-24.93,-65.37,40,1553374800
Mataura,NZ,17.78,85,1.34,-46.19,168.86,76,1553378408
Sobolevo,RU,-0.88,78,3.87,54.43,31.9,36,1553378465
Grand Gaube,MU,28.0,78,5.7,-20.01,57.66,75,1553378340
Butaritari,KI,27.12,100,4.22,3.07,172.79,76,1553378466
